xCenterMov = 423, yCenterMov = 87
======================================================================
 xRef = 433, yRef = 96, xMov = 428, yMov = 91
 xRef = 423, yRef = 97, xMov = 418, yMov = 92
 xRef = 424, yRef = 97, xMov = 419, yMov = 92
 xRef = 425, yRef = 97, xMov = 420, yMov = 92
 xRef = 426, yRef = 97, xMov = 421, yMov = 92
 xRef = 427, yRef = 97, xMov = 422, yMov = 92
 xRef = 428, yRef = 97, xMov = 423, yMov = 92
 xRef = 429, yRef = 97, xMov = 424, yMov = 92
 xRef = 430, yRef = 97, xMov = 425, yMov = 92
 xRef = 431, yRef = 97, xMov = 426, yMov = 92
 xRef = 432, yRef = 97, xMov = 427, yMov = 92
 xRef = 433, yRef = 97, xMov = 428, yMov = 92
xCenterMov = 424, yCenterMov = 87
======================================================================
 xRef = 423, yRef = 87, xMov = 419, yMov = 82
 xRef = 424, yRef = 87, xMov = 420, yMov = 82
 xRef = 425, yRef = 87, xMov = 421, yMov = 82
 xRef = 426, yRef = 87, xMov = 422, yMov = 82
 xRef = 427, yRef = 87, xMov = 423, yMov = 82
 xRef = 428, yRef = 87, xMov = 424, yMov = 82
 xRef = 429, yRef = 87, xMov = 425, yMov = 82
 xRef = 430, yRef = 87, xMov = 426, yMov = 82
 xRef = 431, yRef = 87, xMov = 427, yMov = 82
 xRef = 432, yRef = 87, xMov = 428, yMov = 82
 xRef = 433, yRef = 87, xMov = 429, yMov = 82
 xRef = 423, yRef = 88, xMov = 419, yMov = 83
 xRef = 424, yRef = 88, xMov = 420, yMov = 83
 xRef = 425, yRef = 88, xMov = 421, yMov = 83
 xRef = 426, yRef = 88, xMov = 422, yMov = 83
 xRef = 427, yRef = 88, xMov = 423, yMov = 83
 xRef = 428, yRef = 88, xMov = 424, yMov = 83
 xRef = 429, yRef = 88, xMov = 425, yMov = 83
 xRef = 430, yRef = 88, xMov = 426, yMov = 83
 xRef = 431, yRef = 88, xMov = 427, yMov = 83
 xRef = 432, yRef = 88, xMov = 428, yMov = 83
 xRef = 433, yRef = 88, xMov = 429, yMov = 83
 xRef = 423, yRef = 89, xMov = 419, yMov = 84
 xRef = 424, yRef = 89, xMov = 420, yMov = 84
 xRef = 425, yRef = 89, xMov = 421, yMov = 84
 xRef = 426, yRef = 89, xMov = 422, yMov = 84
 xRef = 427, yRef = 89, xMov = 423, yMov = 84
 xRef = 428, yRef = 89, xMov = 424, yMov = 84
 xRef = 429, yRef = 89, xMov = 425, yMov = 84
 xRef = 430, yRef = 89, xMov = 426, yMov = 84
 xRef = 431, yRef = 89, xMov = 427, yMov = 84
 xRef = 432, yRef = 89, xMov = 428, yMov = 84
 xRef = 433, yRef = 89, xMov = 429, yMov = 84
 xRef = 423, yRef = 90, xMov = 419, yMov = 85
 xRef = 424, yRef = 90, xMov = 420, yMov = 85
 xRef = 425, yRef = 90, xMov = 421, yMov = 85
 xRef = 426, yRef = 90, xMov = 422, yMov = 85
 xRef = 427, yRef = 90, xMov = 423, yMov = 85
 xRef = 428, yRef = 90, xMov = 424, yMov = 85
 xRef = 429, yRef = 90, xMov = 425, yMov = 85
 xRef = 430, yRef = 90, xMov = 426, yMov = 85
 xRef = 431, yRef = 90, xMov = 427, yMov = 85
 xRef = 432, yRef = 90, xMov = 428, yMov = 85
 xRef = 433, yRef = 90, xMov = 429, yMov = 85
 xRef = 423, yRef = 91, xMov = 419, yMov = 86
 xRef = 424, yRef = 91, xMov = 420, yMov = 86
 xRef = 425, yRef = 91, xMov = 421, yMov = 86
 xRef = 426, yRef = 91, xMov = 422, yMov = 86
 xRef = 427, yRef = 91, xMov = 423, yMov = 86
 xRef = 428, yRef = 91, xMov = 424, yMov = 86
 xRef = 429, yRef = 91, xMov = 425, yMov = 86
 xRef = 430, yRef = 91, xMov = 426, yMov = 86
 xRef = 431, yRef = 91, xMov = 427, yMov = 86
 xRef = 432, yRef = 91, xMov = 428, yMov = 86
 xRef = 433, yRef = 91, xMov = 429, yMov = 86
 xRef = 423, yRef = 92, xMov = 419, yMov = 87
 xRef = 424, yRef = 92, xMov = 420, yMov = 87
 xRef = 425, yRef = 92, xMov = 421, yMov = 87
 xRef = 426, yRef = 92, xMov = 422, yMov = 87
 xRef = 427, yRef = 92, xMov = 423, yMov = 87
 xRef = 428, yRef = 92, xMov = 424, yMov = 87
 xRef = 429, yRef = 92, xMov = 425, yMov = 87
 xRef = 430, yRef = 92, xMov = 426, yMov = 87
 xRef = 431, yRef = 92, xMov = 427, yMov = 87
 xRef = 432, yRef = 92, xMov = 428, yMov = 87
 xRef = 433, yRef = 92, xMov = 429, yMov = 87
 xRef = 423, yRef = 93, xMov = 419, yMov = 88
 xRef = 424, yRef = 93, xMov = 420, yMov = 88
 xRef = 425, yRef = 93, xMov = 421, yMov = 88
 xRef = 426, yRef = 93, xMov = 422, yMov = 88
 xRef = 427, yRef = 93, xMov = 423, yMov = 88
 xRef = 428, yRef = 93, xMov = 424, yMov = 88
 xRef = 429, yRef = 93, xMov = 425, yMov = 88
 xRef = 430, yRef = 93, xMov = 426, yMov = 88
 xRef = 431, yRef = 93, xMov = 427, yMov = 88
 xRef = 432, yRef = 93, xMov = 428, yMov = 88
 xRef = 433, yRef = 93, xMov = 429, yMov = 88
 xRef = 423, yRef = 94, xMov = 419, yMov = 89
 xRef = 424, yRef = 94, xMov = 420, yMov = 89
 xRef = 425, yRef = 94, xMov = 421, yMov = 89
 xRef = 426, yRef = 94, xMov = 422, yMov = 89
 xRef = 427, yRef = 94, xMov = 423, yMov = 89
 xRef = 428, yRef = 94, xMov = 424, yMov = 89
 xRef = 429, yRef = 94, xMov = 425, yMov = 89
 xRef = 430, yRef = 94, xMov = 426, yMov = 89
 xRef = 431, yRef = 94, xMov = 427, yMov = 89
 xRef = 432, yRef = 94, xMov = 428, yMov = 89
 xRef = 433, yRef = 94, xMov = 429, yMov = 89
 xRef = 423, yRef = 95, xMov = 419, yMov = 90
 xRef = 424, yRef = 95, xMov = 420, yMov = 90
 xRef = 425, yRef = 95, xMov = 421, yMov = 90
 xRef = 426, yRef = 95, xMov = 422, yMov = 90
 xRef = 427, yRef = 95, xMov = 423, yMov = 90
 xRef = 428, yRef = 95, xMov = 424, yMov = 90
 xRef = 429, yRef = 95, xMov = 425, yMov = 90
 xRef = 430, yRef = 95, xMov = 426, yMov = 90
 xRef = 431, yRef = 95, xMov = 427, yMov = 90
 xRef = 432, yRef = 95, xMov = 428, yMov = 90
 xRef = 433, yRef = 95, xMov = 429, yMov = 90
 xRef = 423, yRef = 96, xMov = 419, yMov = 91
 xRef = 424, yRef = 96, xMov = 420, yMov = 91
 xRef = 425, yRef = 96, xMov = 421, yMov = 91
 xRef = 426, yRef = 96, xMov = 422, yMov = 91
 xRef = 427, yRef = 96, xMov = 423, yMov = 91
 xRef = 428, yRef = 96, xMov = 424, yMov = 91
 xRef = 429, yRef = 96, xMov = 425, yMov = 91
 xRef = 430, yRef = 96, xMov = 426, yMov = 91
 xRef = 431, yRef = 96, xMov = 427, yMov = 91
 xRef = 432, yRef = 96, xMov = 428, yMov = 91
 xRef = 433, yRef = 96, xMov = 429, yMov = 91
 xRef = 423, yRef = 97, xMov = 419, yMov = 92
 xRef = 424, yRef = 97, xMov = 420, yMov = 92
 xRef = 425, yRef = 97, xMov = 421, yMov = 92
 xRef = 426, yRef = 97, xMov = 422, yMov = 92
 xRef = 427, yRef = 97, xMov = 423, yMov = 92
 xRef = 428, yRef = 97, xMov = 424, yMov = 92
 xRef = 429, yRef = 97, xMov = 425, yMov = 92
 xRef = 430, yRef = 97, xMov = 426, yMov = 92
 xRef = 431, yRef = 97, xMov = 427, yMov = 92
 xRef = 432, yRef = 97, xMov = 428, yMov = 92
 xRef = 433, yRef = 97, xMov = 429, yMov = 92
xCenterMov = 425, yCenterMov = 87
======================================================================
 xRef = 423, yRef = 87, xMov = 420, yMov = 82
 xRef = 424, yRef = 87, xMov = 421, yMov = 82
 xRef = 425, yRef = 87, xMov = 422, yMov = 82
 xRef = 426, yRef = 87, xMov = 423, yMov = 82
 xRef = 427, yRef = 87, xMov = 424, yMov = 82
 xRef = 428, yRef = 87, xMov = 425, yMov = 82
 xRef = 429, yRef = 87, xMov = 426, yMov = 82
 xRef = 430, yRef = 87, xMov = 427, yMov = 82
 xRef = 431, yRef = 87, xMov = 428, yMov = 82
 xRef = 432, yRef = 87, xMov = 429, yMov = 82
 xRef = 433, yRef = 87, xMov = 430, yMov = 82
 xRef = 423, yRef = 88, xMov = 420, yMov = 83
 xRef = 424, yRef = 88, xMov = 421, yMov = 83
 xRef = 425, yRef = 88, xMov = 422, yMov = 83
 xRef = 426, yRef = 88, xMov = 423, yMov = 83
 xRef = 427, yRef = 88, xMov = 424, yMov = 83
 xRef = 428, yRef = 88, xMov = 425, yMov = 83
 xRef = 429, yRef = 88, xMov = 426, yMov = 83
 xRef = 430, yRef = 88, xMov = 427, yMov = 83
 xRef = 431, yRef = 88, xMov = 428, yMov = 83
 xRef = 432, yRef = 88, xMov = 429, yMov = 83
 xRef = 433, yRef = 88, xMov = 430, yMov = 83
 xRef = 423, yRef = 89, xMov = 420, yMov = 84
 xRef = 424, yRef = 89, xMov = 421, yMov = 84
 xRef = 425, yRef = 89, xMov = 422, yMov = 84
 xRef = 426, yRef = 89, xMov = 423, yMov = 84
 xRef = 427, yRef = 89, xMov = 424, yMov = 84
 xRef = 428, yRef = 89, xMov = 425, yMov = 84
 xRef = 429, yRef = 89, xMov = 426, yMov = 84
 xRef = 430, yRef = 89, xMov = 427, yMov = 84
 xRef = 431, yRef = 89, xMov = 428, yMov = 84
 xRef = 432, yRef = 89, xMov = 429, yMov = 84
 xRef = 433, yRef = 89, xMov = 430, yMov = 84
 xRef = 423, yRef = 90, xMov = 420, yMov = 85
 xRef = 424, yRef = 90, xMov = 421, yMov = 85
 xRef = 425, yRef = 90, xMov = 422, yMov = 85
 xRef = 426, yRef = 90, xMov = 423, yMov = 85
 xRef = 427, yRef = 90, xMov = 424, yMov = 85
 xRef = 428, yRef = 90, xMov = 425, yMov = 85
 xRef = 429, yRef = 90, xMov = 426, yMov = 85
 xRef = 430, yRef = 90, xMov = 427, yMov = 85
 xRef = 431, yRef = 90, xMov = 428, yMov = 85
 xRef = 432, yRef = 90, xMov = 429, yMov = 85
 xRef = 433, yRef = 90, xMov = 430, yMov = 85
 xRef = 423, yRef = 91, xMov = 420, yMov = 86
 xRef = 424, yRef = 91, xMov = 421, yMov = 86
 xRef = 425, yRef = 91, xMov = 422, yMov = 86
 xRef = 426, yRef = 91, xMov = 423, yMov = 86
 xRef = 427, yRef = 91, xMov = 424, yMov = 86
 xRef = 428, yRef = 91, xMov = 425, yMov = 86
 xRef = 429, yRef = 91, xMov = 426, yMov = 86
 xRef = 430, yRef = 91, xMov = 427, yMov = 86
 xRef = 431, yRef = 91, xMov = 428, yMov = 86
 xRef = 432, yRef = 91, xMov = 429, yMov = 86
 xRef = 433, yRef = 91, xMov = 430, yMov = 86
 xRef = 423, yRef = 92, xMov = 420, yMov = 87
 xRef = 424, yRef = 92, xMov = 421, yMov = 87
 xRef = 425, yRef = 92, xMov = 422, yMov = 87
 xRef = 426, yRef = 92, xMov = 423, yMov = 87
 xRef = 427, yRef = 92, xMov = 424, yMov = 87
 xRef = 428, yRef = 92, xMov = 425, yMov = 87
 xRef = 429, yRef = 92, xMov = 426, yMov = 87
 xRef = 430, yRef = 92, xMov = 427, yMov = 87
 xRef = 431, yRef = 92, xMov = 428, yMov = 87
 xRef = 432, yRef = 92, xMov = 429, yMov = 87
 xRef = 433, yRef = 92, xMov = 430, yMov = 87
 xRef = 423, yRef = 93, xMov = 420, yMov = 88
 xRef = 424, yRef = 93, xMov = 421, yMov = 88
 xRef = 425, yRef = 93, xMov = 422, yMov = 88
 xRef = 426, yRef = 93, xMov = 423, yMov = 88
 xRef = 427, yRef = 93, xMov = 424, yMov = 88
 xRef = 428, yRef = 93, xMov = 425, yMov = 88
 xRef = 429, yRef = 93, xMov = 426, yMov = 88
 xRef = 430, yRef = 93, xMov = 427, yMov = 88
 xRef = 431, yRef = 93, xMov = 428, yMov = 88
 xRef = 432, yRef = 93, xMov = 429, yMov = 88
 xRef = 433, yRef = 93, xMov = 430, yMov = 88
 xRef = 423, yRef = 94, xMov = 420, yMov = 89
 xRef = 424, yRef = 94, xMov = 421, yMov = 89
 xRef = 425, yRef = 94, xMov = 422, yMov = 89
 xRef = 426, yRef = 94, xMov = 423, yMov = 89
 xRef = 427, yRef = 94, xMov = 424, yMov = 89
 xRef = 428, yRef = 94, xMov = 425, yMov = 89
 xRef = 429, yRef = 94, xMov = 426, yMov = 89
 xRef = 430, yRef = 94, xMov = 427, yMov = 89
 xRef = 431, yRef = 94, xMov = 428, yMov = 89
 xRef = 432, yRef = 94, xMov = 429, yMov = 89
 xRef = 433, yRef = 94, xMov = 430, yMov = 89
 xRef = 423, yRef = 95, xMov = 420, yMov = 90
 xRef = 424, yRef = 95, xMov = 421, yMov = 90
 xRef = 425, yRef = 95, xMov = 422, yMov = 90
 xRef = 426, yRef = 95, xMov = 423, yMov = 90
 xRef = 427, yRef = 95, xMov = 424, yMov = 90
 xRef = 428, yRef = 95, xMov = 425, yMov = 90
 xRef = 429, yRef = 95, xMov = 426, yMov = 90
 xRef = 430, yRef = 95, xMov = 427, yMov = 90
 xRef = 431, yRef = 95, xMov = 428, yMov = 90
 xRef = 432, yRef = 95, xMov = 429, yMov = 90
 xRef = 433, yRef = 95, xMov = 430, yMov = 90
 xRef = 423, yRef = 96, xMov = 420, yMov = 91
 xRef = 424, yRef = 96, xMov = 421, yMov = 91
 xRef = 425, yRef = 96, xMov = 422, yMov = 91
 xRef = 426, yRef = 96, xMov = 423, yMov = 91
 xRef = 427, yRef = 96, xMov = 424, yMov = 91
 xRef = 428, yRef = 96, xMov = 425, yMov = 91
 xRef = 429, yRef = 96, xMov = 426, yMov = 91
 xRef = 430, yRef = 96, xMov = 427, yMov = 91
 xRef = 431, yRef = 96, xMov = 428, yMov = 91
 xRef = 432, yRef = 96, xMov = 429, yMov = 91
 xRef = 433, yRef = 96, xMov = 430, yMov = 91
 xRef = 423, yRef = 97, xMov = 420, yMov = 92
 xRef = 424, yRef = 97, xMov = 421, yMov = 92
 xRef = 425, yRef = 97, xMov = 422, yMov = 92
 xRef = 426, yRef = 97, xMov = 423, yMov = 92
 xRef = 427, yRef = 97, xMov = 424, yMov = 92
 xRef = 428, yRef = 97, xMov = 425, yMov = 92
 xRef = 429, yRef = 97, xMov = 426, yMov = 92
 xRef = 430, yRef = 97, xMov = 427, yMov = 92
 xRef = 431, yRef = 97, xMov = 428, yMov = 92
 xRef = 432, yRef = 97, xMov = 429, yMov = 92
 xRef = 433, yRef = 97, xMov = 430, yMov = 92
xCenterMov = 426, yCenterMov = 87
======================================================================
 xRef = 423, yRef = 87, xMov = 421, yMov = 82
 xRef = 424, yRef = 87, xMov = 422, yMov = 82
 xRef = 425, yRef = 87, xMov = 423, yMov = 82
 xRef = 426, yRef = 87, xMov = 424, yMov = 82
 xRef = 427, yRef = 87, xMov = 425, yMov = 82
 xRef = 428, yRef = 87, xMov = 426, yMov = 82
 xRef = 429, yRef = 87, xMov = 427, yMov = 82
 xRef = 430, yRef = 87, xMov = 428, yMov = 82
 xRef = 431, yRef = 87, xMov = 429, yMov = 82
 xRef = 432, yRef = 87, xMov = 430, yMov = 82
 xRef = 433, yRef = 87, xMov = 431, yMov = 82
 xRef = 423, yRef = 88, xMov = 421, yMov = 83
 xRef = 424, yRef = 88, xMov = 422, yMov = 83
 xRef = 425, yRef = 88, xMov = 423, yMov = 83
 xRef = 426, yRef = 88, xMov = 424, yMov = 83
 xRef = 427, yRef = 88, xMov = 425, yMov = 83
 xRef = 428, yRef = 88, xMov = 426, yMov = 83
 xRef = 429, yRef = 88, xMov = 427, yMov = 83
 xRef = 430, yRef = 88, xMov = 428, yMov = 83
 xRef = 431, yRef = 88, xMov = 429, yMov = 83
 xRef = 432, yRef = 88, xMov = 430, yMov = 83
 xRef = 433, yRef = 88, xMov = 431, yMov = 83
 xRef = 423, yRef = 89, xMov = 421, yMov = 84
 xRef = 424, yRef = 89, xMov = 422, yMov = 84
 xRef = 425, yRef = 89, xMov = 423, yMov = 84
 xRef = 426, yRef = 89, xMov = 424, yMov = 84
 xRef = 427, yRef = 89, xMov = 425, yMov = 84
 xRef = 428, yRef = 89, xMov = 426, yMov = 84
 xRef = 429, yRef = 89, xMov = 427, yMov = 84
 xRef = 430, yRef = 89, xMov = 428, yMov = 84
 xRef = 431, yRef = 89, xMov = 429, yMov = 84
 xRef = 432, yRef = 89, xMov = 430, yMov = 84
 xRef = 433, yRef = 89, xMov = 431, yMov = 84
 xRef = 423, yRef = 90, xMov = 421, yMov = 85
 xRef = 424, yRef = 90, xMov = 422, yMov = 85
 xRef = 425, yRef = 90, xMov = 423, yMov = 85
 xRef = 426, yRef = 90, xMov = 424, yMov = 85
 xRef = 427, yRef = 90, xMov = 425, yMov = 85
 xRef = 428, yRef = 90, xMov = 426, yMov = 85
 xRef = 429, yRef = 90, xMov = 427, yMov = 85
 xRef = 430, yRef = 90, xMov = 428, yMov = 85
 xRef = 431, yRef = 90, xMov = 429, yMov = 85
 xRef = 432, yRef = 90, xMov = 430, yMov = 85
 xRef = 433, yRef = 90, xMov = 431, yMov = 85
 xRef = 423, yRef = 91, xMov = 421, yMov = 86
 xRef = 424, yRef = 91, xMov = 422, yMov = 86
 xRef = 425, yRef = 91, xMov = 423, yMov = 86
 xRef = 426, yRef = 91, xMov = 424, yMov = 86
 xRef = 427, yRef = 91, xMov = 425, yMov = 86
 xRef = 428, yRef = 91, xMov = 426, yMov = 86
 xRef = 429, yRef = 91, xMov = 427, yMov = 86
 xRef = 430, yRef = 91, xMov = 428, yMov = 86
 xRef = 431, yRef = 91, xMov = 429, yMov = 86
 xRef = 432, yRef = 91, xMov = 430, yMov = 86
 xRef = 433, yRef = 91, xMov = 431, yMov = 86
 xRef = 423, yRef = 92, xMov = 421, yMov = 87
 xRef = 424, yRef = 92, xMov = 422, yMov = 87
 xRef = 425, yRef = 92, xMov = 423, yMov = 87
 xRef = 426, yRef = 92, xMov = 424, yMov = 87
 xRef = 427, yRef = 92, xMov = 425, yMov = 87
 xRef = 428, yRef = 92, xMov = 426, yMov = 87
 xRef = 429, yRef = 92, xMov = 427, yMov = 87
 xRef = 430, yRef = 92, xMov = 428, yMov = 87
 xRef = 431, yRef = 92, xMov = 429, yMov = 87
 xRef = 432, yRef = 92, xMov = 430, yMov = 87
 xRef = 433, yRef = 92, xMov = 431, yMov = 87
 xRef = 423, yRef = 93, xMov = 421, yMov = 88
 xRef = 424, yRef = 93, xMov = 422, yMov = 88
 xRef = 425, yRef = 93, xMov = 423, yMov = 88
 xRef = 426, yRef = 93, xMov = 424, yMov = 88
 xRef = 427, yRef = 93, xMov = 425, yMov = 88
 xRef = 428, yRef = 93, xMov = 426, yMov = 88
 xRef = 429, yRef = 93, xMov = 427, yMov = 88
 xRef = 430, yRef = 93, xMov = 428, yMov = 88
 xRef = 431, yRef = 93, xMov = 429, yMov = 88
 xRef = 432, yRef = 93, xMov = 430, yMov = 88
 xRef = 433, yRef = 93, xMov = 431, yMov = 88
 xRef = 423, yRef = 94, xMov = 421, yMov = 89
 xRef = 424, yRef = 94, xMov = 422, yMov = 89
 xRef = 425, yRef = 94, xMov = 423, yMov = 89
 xRef = 426, yRef = 94, xMov = 424, yMov = 89
 xRef = 427, yRef = 94, xMov = 425, yMov = 89
 xRef = 428, yRef = 94, xMov = 426, yMov = 89
 xRef = 429, yRef = 94, xMov = 427, yMov = 89
 xRef = 430, yRef = 94, xMov = 428, yMov = 89
 xRef = 431, yRef = 94, xMov = 429, yMov = 89
 xRef = 432, yRef = 94, xMov = 430, yMov = 89
 xRef = 433, yRef = 94, xMov = 431, yMov = 89
 xRef = 423, yRef = 95, xMov = 421, yMov = 90
 xRef = 424, yRef = 95, xMov = 422, yMov = 90
 xRef = 425, yRef = 95, xMov = 423, yMov = 90
 xRef = 426, yRef = 95, xMov = 424, yMov = 90
 xRef = 427, yRef = 95, xMov = 425, yMov = 90
 xRef = 428, yRef = 95, xMov = 426, yMov = 90
 xRef = 429, yRef = 95, xMov = 427, yMov = 90
 xRef = 430, yRef = 95, xMov = 428, yMov = 90
 xRef = 431, yRef = 95, xMov = 429, yMov = 90
 xRef = 432, yRef = 95, xMov = 430, yMov = 90
 xRef = 433, yRef = 95, xMov = 431, yMov = 90
 xRef = 423, yRef = 96, xMov = 421, yMov = 91
 xRef = 424, yRef = 96, xMov = 422, yMov = 91
 xRef = 425, yRef = 96, xMov = 423, yMov = 91
 xRef = 426, yRef = 96, xMov = 424, yMov = 91
 xRef = 427, yRef = 96, xMov = 425, yMov = 91
 xRef = 428, yRef = 96, xMov = 426, yMov = 91
 xRef = 429, yRef = 96, xMov = 427, yMov = 91
 xRef = 430, yRef = 96, xMov = 428, yMov = 91
 xRef = 431, yRef = 96, xMov = 429, yMov = 91
 xRef = 432, yRef = 96, xMov = 430, yMov = 91
 xRef = 433, yRef = 96, xMov = 431, yMov = 91
 xRef = 423, yRef = 97, xMov = 421, yMov = 92
 xRef = 424, yRef = 97, xMov = 422, yMov = 92
 xRef = 425, yRef = 97, xMov = 423, yMov = 92
 xRef = 426, yRef = 97, xMov = 424, yMov = 92
 xRef = 427, yRef = 97, xMov = 425, yMov = 92
